43.168.16.112:443#CN|延迟44ms|带宽186.9Mbps|评分74
125.228.236.138:443#TW🇹🇼|延迟51ms|带宽156.0Mbps|评分81
220.135.92.105:2087#TW🇹🇼|延迟52ms|带宽128.0Mbps|评分82
8.210.29.68:443#HK🇭🇰|延迟53ms|带宽290.8Mbps|评分83
47.239.4.246:8443#HK🇭🇰|延迟55ms|带宽607.6Mbps|评分85
47.239.4.246:2053#HK🇭🇰|延迟55ms|带宽660.7Mbps|评分85
47.239.4.246:443#HK🇭🇰|延迟59ms|带宽593.1Mbps|评分89
18.138.34.221:443#SG🇸🇬|延迟59ms|带宽28.8Mbps|评分90
8.223.63.150:443#HK🇭🇰|延迟57ms|带宽23.2Mbps|评分91
18.143.76.130:443#SG🇸🇬|延迟57ms|带宽16.2Mbps|评分94
13.250.31.132:443#SG🇸🇬|延迟64ms|带宽36.5Mbps|评分94
82.40.35.90:443#JP🇯🇵|延迟68ms|带宽93.2Mbps|评分98
18.136.144.105:443#SG🇸🇬|延迟76ms|带宽62.5Mbps|评分106
54.238.157.207:443#JP🇯🇵|延迟77ms|带宽246.8Mbps|评分107
60.249.21.29:443#TW🇹🇼|延迟87ms|带宽99.3Mbps|评分117
18.183.224.152:443#JP🇯🇵|延迟87ms|带宽12.1Mbps|评分126
207.148.119.176:8443#SG🇸🇬|延迟103ms|带宽243.1Mbps|评分133
129.226.150.167:443#SG🇸🇬|延迟107ms|带宽135.7Mbps|评分137
52.141.39.15:443#KR🇰🇷|延迟110ms|带宽152.3Mbps|评分140
150.230.249.88:443#KR🇰🇷|延迟111ms|带宽38.1Mbps|评分141
